date,daily_quantity_실리콘_계란찜기(소),daily_quantity_실리콘_뒤짐개,daily_quantity_실리콘_볶음주걱,daily_quantity_내열장갑,daily_quantity_실리콘_계란찜기(대),daily_quantity_실리콘_도마(대),daily_quantity_실리콘_냄비잡이,daily_quantity_실리콘_스테인리스집게(소),daily_quantity_오픈수납함,daily_quantity_실리콘_계란찜기(중),daily_quantity_실리콘_도마(중),daily_quantity_실리콘_멀티스푼,daily_quantity_실리콘_비누받침,daily_quantity_실리콘_스테인리스집게(대),daily_quantity_실리콘_다용도 오일브러쉬,daily_quantity_실리콘_덮개세트_샤크
2022-09-08 0:00,0,20,0,6,0,0,0,0,0,0,12,0,0,0,0,3
2022-09-09 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-10 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-11 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-12 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-13 0:00,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
2022-09-14 0:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2022-09-15 0:00,0,0,0,0,0,30,40,0,8,0,0,0,0,0,0,0
2022-09-16 0:00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2022-09-17 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-18 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-19 0:00,0,0,0,0,0,0,0,0,128,0,0,0,0,60,0,0
2022-09-20 0:00,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0
2022-09-21 0:00,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0
2022-09-22 0:00,0,60,120,0,0,0,0,0,4,0,30,0,0,0,0,0
2022-09-23 0:00,0,30,55,20,0,0,40,0,292,0,0,30,0,0,0,0
2022-09-24 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-25 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-26 0:00,0,0,0,0,0,0,0,0,568,0,0,0,0,20,0,0
2022-09-27 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-28 0:00,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0
2022-09-29 0:00,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0
2022-09-30 0:00,7,0,0,1,0,3,0,2,402,5,3,0,0,0,0,1
2022-10-01 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-02 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-03 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-04 0:00,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2022-10-05 0:00,0,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0
2022-10-06 0:00,0,0,0,50,0,5,0,36,4,0,0,0,0,0,0,0
2022-10-07 0:00,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
2022-10-08 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-09 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-10 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-11 0:00,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0
